System Name,Location,,Bike Tech,Operator Type,Bikes at Launch,Bikes as of 12/2016,City,State
ArborBike,"Ann Arbor, MI",14-Sep,B-Cycle,Independently Operated,45,125,Ann Arbor, MI
Austin B-Cycle,"Austin, TX",13-Dec,B-Cycle,Independently Operated,75,520,Austin, TX
AvMed Rides,"Broward County, FL",11-Dec,B-Cycle,B-Cycle,200,275,Broward County, FL
Baltimore Bike Share,"Baltimore, MD",16-Oct,Bewegen,Independently Operated,200,200,Baltimore, MD
Bay Area Bike Share,"San Francisco Bay Area, CA",13-Aug,PBSC,Motivate,700,700,San Francisco Bay Area, CA
Beverly Hills Bike Share,"Beverly Hills, CA",16-May,Social Bicycle,Cyclehop,100,100,Beverly Hills, CA
Bike Chattanooga,"Chattanooga, TN",12-Jul,PBSC,Motivate,300,334,Chattanooga, TN
Biketown,"Portland, OR",16-Jul,Social Bicycle,Motivate,"1,000","1,000",Portland, OR
Boise Greenbike,"Boise, ID",15-Apr,Social Bicycle,Transit Agency,115,115,Boise, ID
Boulder B-Cycle,"Boulder, CO",11-May,B-Cycle,Independently Operated,110,300,Boulder, CO
Breeze Bike Share,"Santa Monica, CA",15-Aug,Social Bicycle,Cyclehop,500,500,Santa Monica, CA
Bublr Bikes,"Milwaukee, WI",14-Aug,B-Cycle,Independently Operated,100,500,Milwaukee, WI
Capital Bike Share,"Washington, DC",10-Sep,8D,Motivate,400,"3,700",Washington, DC
Charlotte B-Cycle,"Charlotte, NC",12-Jul,B-Cycle,Independently Operated,200,200,Charlotte, NC
Citi Bike JC,"Jersey City, NJ",15-Sep,8D,Motivate,350,500,Jersey City, NJ
Citi Bike Miami,"Miami Beach-Miami, FL",11-Mar,Decobike,Decobike,"1,000","1,500",Miami Beach-Miami, FL
Citi Bike NYC,"New York City, NY",13-May,8D,Motivate,"6,000","10,000",New York City, NY
Coast Bike Share,"Tampa, FL",14-Dec,Social Bicycle,Cyclehop,100,400,Tampa, FL
CoGo Bike Share,"Columbus, OH",13-Jul,PBSC,Motivate,300,365,Columbus, OH
Decobike San Diego,"San Diego, CA",15-Jan,Decobike,Decobike,700,700,San Diego, CA
Denver B-Cycle,"Denver, CO",10-Apr,B-Cycle,Independently Operated,500,700,Denver, CO
Des Moines B-Cycle,"Des Moines, IA",10-Sep,B-Cycle,Independently Operated,40,100,Des Moines, IA
Divvy,"Chicago, IL",13-Jun,PBSC,Motivate,"3,000","5,800",Chicago, IL
El Paso B-cycle,"El Paso, TX",15-Sep,B-Cycle,Transit Agency,80,160,El Paso, TX
Fort Worth Bike Sharing,"Fort Worth, TX",13-Apr,B-Cycle,Independently Operated,300,350,Fort Worth, TX
Great Rides,"Fargo, ND",15-Mar,B-Cycle,Independently Operated,101,101,Fargo, ND
GREENbike,"Salt Lake City, UT",13-Apr,B-Cycle,Independently Operated,75,330,Salt Lake City, UT
GRID,"Phoenix, AZ",14-Nov,Social Bicycle,Cyclehop,100,600,Phoenix, AZ
Healthy Ride,"Pittsburgh, PA",15-Feb,Nextbike,Independently Operated,500,500,Pittsburgh, PA
Heartland B-Cycle,"Omaha, NE",11-Jun,B-Cycle,Independently Operated,35,180,Omaha, NE
Houston B-Cycle,"Houston, TX",12-May,B-Cycle,Independently Operated,18,225,Houston, TX
Hubway,"Greater Boston, MA",11-Jul,8D,Motivate,610,"1,600",Greater Boston, MA
Hudson Bike Share,"Hoboken, NJ",15-Oct,Nextbike,Independently Operated,250,250,Hoboken, NJ
Indego,"Philadelphia, PA",15-Apr,B-Cycle,Bicycle Transit Systems,700,"1,000",Philadelphia, PA
Indiana Pacers Bikeshare,"Indianapolis, IN",14-Oct,B-Cycle,Independently Operated,250,250,Indianapolis, IN
Juice,"Orlando, FL",15-Jan,Social Bicycle,Cyclehop,200,200,Orlando, FL
Kansas City B-Cycle,"Kansas City, MO",12-Jul,B-Cycle,Independently Operated,90,216,Kansas City, MO
Link,"Dayton, OH",15-May,B-Cycle,Independently Operated,225,225,Dayton, OH
Long Beach Bike Share,"Long Beach, CA",16-Mar,Social Bicycle,Cyclehop,500,500,Long Beach, CA
Madison B-Cycle,"Madison, WI",11-Jun,B-Cycle,B-Cycle,350,350,Madison, WI
Metro Bike Share,"Los Angeles, CA",16-Jul,B-Cycle,Bicycle Transit Systems,"1,000","1,000",Los Angeles, CA
Nashville B-Cycle,"Nashville, TN",12-Dec,B-Cycle,Independently Operated,190,280,Nashville, TN
Nice Ride MN,"Minneapolis-St. Paul, MN",10-Jun,8D,Independently Operated,700,"1,850",Minneapolis-St. Paul, MN
Pronto (Cycle Share),"Seattle, WA",14-Oct,8D,Motivate,500,500,Seattle, WA
Red Bike,"Cincinnati, OH",14-Sep,B-Cycle,Independently Operated,260,435,Cincinnati, OH
Reddy Bikeshare,"Buffalo, NY",16-Jul,Social Bicycle,Independently Operated,200,200,Buffalo, NY
Relay Bike Share,"Atlanta, GA",16-Jun,Social Bicycle,Cyclehop,100,100,Atlanta, GA
RTC Bike Share,"Las Vegas, NV",16-Oct,B-Cycle,Bicycle Transit Systems,180,180,Las Vegas, NV
San Antonio B-Cycle,"San Antonio, TX",11-Mar,B-Cycle,Independently Operated,200,500,San Antonio, TX
SkyBike,"West Palm Beach, FL",15-Jun,Nextbike,Independently Operated,150,150,West Palm Beach, FL
Topeka Metro Bikes,"Topeka, KS",15-Apr,Social Bicycle,Transit Agency,100,200,Topeka, KS
UH Bikes,"Cleveland, OH",16-Sep,Social Bicycle,Cyclehop,250,250,Cleveland, OH
WE-Cycle,"Aspen, CO",13-Jun,PBSC,Independently Operated,100,190,Aspen, CO
WeHo Pedals,"West Hollywood, CA",16-Aug,Social Bicycle,Cyclehop,150,150,West Hollywood, CA
Zyp Bike Share,"Birmingham, AL",15-Oct,Bewegen,Independently Operated,300,400,Birmingham, AL
